zurich_class,largest_spot_size,spot_distribution,activity,evolution,previous_flare_activity,historically_complex,became_complex,area,largest_spot_area,c_flares,m_flares,x_flares,any_c_flare,relevant_flare,total_flares,source_quality
D,A,O,1,2,1,2,2,1,1,2,0,0,1,0,2,data2
C,S,I,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
C,S,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,O,1,2,1,2,2,1,1,1,0,0,1,0,1,data2
D,A,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
F,K,C,2,3,1,2,2,2,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
D,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,O,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
F,K,C,2,2,1,2,2,1,1,4,0,0,1,0,4,data2
D,S,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,O,1,2,1,1,2,1,1,3,0,0,1,0,3,data2
H,R,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
F,A,I,1,2,1,2,2,2,1,1,0,0,1,0,1,data2
D,S,O,1,2,1,2,2,1,1,1,0,0,1,0,1,data2
C,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,C,2,3,1,1,2,1,1,2,0,0,1,0,2,data2
B,X,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,2,3,1,1,2,1,1,2,0,0,1,0,2,data2
H,A,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,2,2,1,1,1,0,0,1,0,1,data2
F,A,C,2,3,1,2,2,2,1,2,0,0,1,0,2,data2
D,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,2,3,1,2,2,1,1,3,0,0,1,0,3,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,2,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,S,O,2,3,1,2,2,1,1,0,0,0,0,0,0,data2
F,A,I,2,2,1,2,2,1,1,2,0,0,1,0,2,data2
H,S,X,1,1,1,2,2,1,1,1,0,0,1,0,1,data2
D,A,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
F,A,C,2,2,1,2,2,1,1,1,0,0,1,0,1,data2
H,S,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
E,A,O,1,2,1,2,2,1,1,1,0,0,1,0,1,data2
E,A,I,1,2,1,2,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,S,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
F,A,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
E,A,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
E,S,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
E,A,O,1,3,1,1,2,1,1,2,0,0,1,0,2,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
E,S,O,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
E,S,I,2,3,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,2,2,1,1,2,1,1,1,0,0,1,0,1,data2
E,S,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,2,0,0,1,0,2,data2
E,A,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,H,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,H,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,1,0,0,1,0,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,1,2,1,1,3,0,0,1,0,3,data2
D,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,2,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,H,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,R,C,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,O,1,2,1,1,2,1,1,2,0,0,1,0,2,data2
C,K,O,1,2,1,1,2,1,1,2,0,0,1,0,2,data2
H,S,X,2,2,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,K,C,1,3,1,2,2,1,1,0,1,0,0,1,1,data2
E,A,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,S,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
E,K,C,1,3,1,2,2,2,1,2,1,0,1,1,3,data2
E,R,O,1,3,1,2,2,2,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,O,2,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,2,1,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,C,2,1,3,2,2,1,1,5,0,0,1,0,5,data2
E,A,O,1,1,1,2,2,1,1,3,0,0,1,0,3,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,H,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
F,K,C,2,3,3,2,2,2,1,1,0,0,1,0,1,data2
E,A,O,2,2,1,2,2,1,1,1,0,0,1,0,1,data2
D,S,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,S,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,H,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
F,K,C,2,3,1,2,2,2,1,0,0,0,0,0,0,data2
E,A,O,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
C,R,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,2,3,1,1,2,1,1,1,0,0,1,0,1,data2
C,S,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
F,K,I,2,2,1,2,2,2,1,1,0,0,1,0,1,data2
E,R,O,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,1,2,1,1,0,1,0,0,1,1,data2
D,S,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,2,2,1,1,2,1,1,0,0,0,0,0,0,data2
F,A,I,1,2,1,2,2,1,1,2,0,0,1,0,2,data2
C,R,I,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
D,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,O,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,1,2,1,1,3,0,0,1,0,3,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
F,A,I,2,2,1,2,2,1,1,1,0,1,1,1,2,data2
D,R,I,2,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,O,2,2,3,2,2,1,1,0,0,0,0,0,0,data2
D,A,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
F,K,I,2,3,1,2,2,2,1,3,0,0,1,0,3,data2
D,A,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,I,1,2,1,2,2,1,1,0,1,0,0,1,1,data2
D,A,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,O,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
F,K,I,2,2,3,2,2,1,1,0,0,0,0,0,0,data2
D,R,C,1,3,1,2,2,1,1,1,0,0,1,0,1,data2
D,A,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,O,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
F,S,O,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
D,R,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,2,2,1,1,1,0,0,1,0,1,data2
H,A,X,2,3,2,2,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,2,1,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,2,1,2,2,1,1,0,3,0,0,1,3,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,2,1,1,1,0,0,0,0,0,0,data2
H,R,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,2,1,1,2,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,A,O,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,I,1,3,1,1,2,1,1,2,0,0,1,0,2,data2
D,A,O,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,2,2,3,2,2,1,1,1,0,0,1,0,1,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,I,1,3,1,1,2,1,1,2,0,0,1,0,2,data2
H,A,X,1,2,1,2,2,1,1,0,1,0,0,1,1,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,2,3,1,2,2,1,1,1,0,0,1,0,1,data2
D,R,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,1,2,1,1,1,0,0,1,0,1,data2
H,S,X,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,2,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,R,I,2,3,2,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,1,0,0,1,1,data2
H,S,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,A,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,A,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,A,O,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,R,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,2,3,3,2,2,1,1,2,0,0,1,0,2,data2
D,R,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
C,A,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,2,1,2,2,1,1,4,0,0,1,0,4,data2
C,R,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,S,O,2,3,1,2,2,1,1,1,0,0,1,0,1,data2
B,X,O,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,2,2,1,2,2,1,1,0,1,0,0,1,1,data2
H,R,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,K,I,2,3,2,2,2,1,1,2,0,0,1,0,2,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,I,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,1,0,0,1,1,data2
D,K,I,1,3,1,2,2,1,1,4,0,0,1,0,4,data2
B,X,O,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
C,S,O,2,3,3,1,2,1,1,0,1,0,0,1,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,K,I,2,3,1,2,2,1,1,3,1,0,1,1,4,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,K,I,2,2,1,2,2,1,1,1,0,0,1,0,1,data2
D,A,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
C,S,O,2,2,2,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,O,1,2,1,1,2,1,1,1,0,0,1,0,1,data2
D,A,I,2,2,3,2,2,1,1,0,0,0,0,0,0,data2
D,S,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
D,A,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,A,X,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,1,2,1,1,1,0,0,1,0,1,data2
D,S,I,2,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,C,2,3,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,A,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,1,3,1,2,2,1,1,1,0,0,1,0,1,data2
D,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,R,X,1,1,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,O,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
C,R,O,2,2,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,3,1,1,2,1,1,1,0,0,1,0,1,data2
H,R,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
H,R,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,C,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,A,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,2,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
C,S,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,H,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,3,1,2,2,1,1,1,0,0,1,0,1,data2
C,R,O,1,3,1,1,2,1,1,0,1,0,0,1,1,data2
H,R,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,2,1,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
D,A,O,1,1,1,2,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
C,R,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
D,R,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
H,A,X,1,2,1,1,1,1,1,0,0,0,0,0,0,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,2,3,1,2,2,1,1,2,0,0,1,0,2,data2
D,R,O,1,3,1,1,2,1,1,0,1,0,0,1,1,data2
H,H,X,1,3,1,2,1,1,1,0,0,0,0,0,0,data2
D,A,I,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
B,X,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,S,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
D,A,I,1,3,1,2,2,1,1,0,0,0,0,0,0,data2
C,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
D,R,O,1,2,1,2,2,1,1,0,0,0,0,0,0,data2
H,S,X,1,3,1,1,1,1,1,0,0,0,0,0,0,data2
D,R,O,1,3,1,1,2,1,1,0,0,0,0,0,0,data2
E,A,I,2,2,1,2,2,1,1,3,0,0,1,0,3,data2
D,A,I,2,3,3,1,2,1,1,1,0,0,1,0,1,data2
B,X,O,1,2,1,1,2,1,1,0,0,0,0,0,0,data2
